#,Url,Acceptance,Difficulty,Tags
114,https://leetcode.com/problems/flatten-binary-tree-to-linked-list,48.4% (338682),Medium,"Tree, Depth-first Search"
129,https://leetcode.com/problems/sum-root-to-leaf-numbers,48.4% (269748),Medium,"Tree, Depth-first Search"
36,https://leetcode.com/problems/valid-sudoku,48.3% (357836),Medium,Hash Table
208,https://leetcode.com/problems/implement-trie-prefix-tree,48.3% (315467),Medium,"Design, Trie"
621,https://leetcode.com/problems/task-scheduler,48.3% (164172),Medium,"Array, Greedy, Queue"
105,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,47.9% (352493),Medium,"Array, Tree, Depth-first Search"
40,https://leetcode.com/problems/combination-sum-ii,47.4% (321085),Medium,"Array, Backtracking"
994,https://leetcode.com/problems/rotting-oranges,47.4% (101925),Medium,Breadth-first Search
380,https://leetcode.com/problems/insert-delete-getrandom-o1,47.2% (237299),Medium,"Array, Hash Table, Design"
785,https://leetcode.com/problems/is-graph-bipartite,47% (110264),Medium,"Depth-first Search, Breadth-first Search, Graph"
75,https://leetcode.com/problems/sort-colors,46.9% (505851),Medium,"Array, Two Pointers, Sort"
109,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,46.9% (240364),Medium,"Linked List, Depth-first Search"
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,46.8% (351456),Medium,"Stack, Tree, Breadth-first Search"
279,https://leetcode.com/problems/perfect-squares,46.8% (302165),Medium,"Math, Dynamic Programming, Breadth-first Search"
131,https://leetcode.com/problems/palindrome-partitioning,46.7% (224098),Medium,Backtracking
90,https://leetcode.com/problems/subsets-ii,46.5% (274503),Medium,"Array, Backtracking"
494,https://leetcode.com/problems/target-sum,46.5% (161738),Medium,"Dynamic Programming, Depth-first Search"
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,46.3% (602139),Medium,"String, Backtracking"
200,https://leetcode.com/problems/number-of-islands,46.3% (719687),Medium,"Depth-first Search, Breadth-first Search, Union Find"
309,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,46.2% (135231),Medium,Dynamic Programming
